name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,total_authorized_shares,category_survey_email_address,billing_unit,dissolution_date,date_of_organization_meeting,reason_for_administrative,mailing_address
"842 REDDING ROAD, LLC",LLC,Active,Annual report past due,1361019,2021-03-31,2228 BLACK ROCK TURNPIKE SUITE 301,FAIRFIELD,United States,06824,CT,ASHLEY@PETERSONZAMAT.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:36.3366667,,,,,,,,,,,,,,,,,,,,,,
CLOUD TECHNOLOGY AND BUSINESS INTELLIGENCE LLC,LLC,Active,Annual report past due,1361020,2021-03-31,147 OLMSTEAD HILL RD,WILTON,United States,06897-1732,CT,SSCHALLOP@OPTIMUM.NET,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,Custom Computer Programming Services (541511),541511.0,2021-11-10 00:12:36.3366667,,,,,,,,,,,,,,,,,,,,,,
XEROJUNK LLC,LLC,Active,Annual report past due,1361021,2021-03-31,1177 HIGH RIDGE RD,STAMFORD,United States,06905,CT,XEROJUNKLLC@GMAIL.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:36.3366667,,,,,,,,,,,,,,,,,,,,,,
"WONSOS AS, LLC",LLC,Active,,1361022,2022-03-31,70 Shorefront Park,Norwalk,United States,06854-3716,CT,psosnow@tpaths.com,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),,2021-11-10 00:12:36.3366667,,,,,,,,,,,,,,,,,,,,,,
"FAMIGLIA FARMS, LLC",LLC,Active,,1361023,2022-03-31,230 ORCUTTVILLE ROAD,STAFFORD SPRINGS,United States,06076,CT,MATT.BUTTAFUOCO@GMAIL.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,All Other Miscellaneous Crop Farming (111998),111998.0,2021-11-10 00:12:36.3366667,,,,,,,,,,,,,,,,,,,,,,
ERIK HOME IMPROVEMENT LLC,LLC,Active,Annual report past due,1361024,2021-03-31,54 HANOVER ST - 2 FLOOR,BRIDGEPORT,United States,06604,CT,EFRANCIANE@ROHUER.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,Residential Remodelers (236118),236118.0,2021-11-10 00:12:36.3366667,,,,,,,,,,,,,,,,,,,,,,
EXPRESS GROUP LLC,LLC,Active,Annual report past due,1361025,2021-03-31,95 HARMONY ST,BRIDGEPORT,United States,06606,CT,ATLANTISLLC@GMAIL.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),541611.0,2021-11-10 00:12:36.3366667,,,,,,,,,,,,,,,,,,,,,,
N.E.T. MARKETING LLC,LLC,Active,,1361026,2022-03-31,190 Blue Ridge Drive,Manchester,United States,06040,CT,EASTERN@NORTHWESTREGISTEREDAGENT.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,Marketing Consulting Services (541613),,2021-11-10 00:12:36.3366667,,,,,,,,,,,,,,,,,ne@registeredagentsinc.com,,,,,
DEBMAMABEAR SCRUBS LLC,LLC,Active,Annual report past due,1361027,2021-03-31,2389 MAIN ST. STE 100,GLASTONBURY,United States,06033,CT,EASTERN@REGISTEREDAGENTSINC.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:36.3366667,,,,,,,,,,,,,,,,,,,,,,
"RAE'S CONCIERGE, LLC",LLC,Active,Annual report past due,1361028,2021-03-31,"36 HOLMES RD, APT 5",OAKDALE,United States,06370,CT,RAE_GEORGE@YAHOO.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:12:36.3366667,,,,,,,,,,,,,,,,,,,,,,
"ASPIRE LIMOUSINE, LLC",LLC,Active,Annual report past due,1361029,2021-03-31,920 SOUTH COLONY ROAD,WALLINGFORD,United States,06492,CT,CINDYL@DEMARTINOFIXTURES.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,Limousine Service (485320),485320.0,2021-11-10 00:12:36.3366667,,,,,,,,,,,,,,,,,,,,,,
JUSTIFIED WINNERS LLC,LLC,Active,,1361030,2022-03-31,32 EDWARDS RD,OLD SAYBROOK,United States,06475,CT,justifiedwinners@gmail.com,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,Other Spectator Sports (711219),711219.0,2021-11-10 00:12:36.3366667,,,,,,,,,,,,,,,,,,,,,,
"LIPPER HOLDINGS, LLC",LLC,Active,,1361031,2022-03-31,"2400 E COMMERCIAL BLVD., SUITE 810",FORT LAUDERDALE,United States,33308,FL,dbyrne@dadaholdings.com,Domestic,2020-10-01,FL,Connecticut,True,False,False,False,False,Other Activities Related to Real Estate (531390),,2021-11-10 00:12:36.3366667,,,,,,,,,,,,,,,,,,,,,,
FREDDY JAVIER TORRES DURAN LLC,LLC,Active,Annual report past due,1361032,2021-03-31,4 GROVE ST.,CLINTON,United States,06413,CT,ESTEVEZKATIUSCA@GMAIL.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,Painting and Wall Covering Contractors (238320),238320.0,2021-11-10 00:12:36.3366667,,,,,,,,,,,,,,,,,,,,,,
LA FLEUR ROSE LLC,LLC,Active,Annual report past due,1361033,2021-03-31,"34 ATLANTIC STREET, 10",NEW BRITAIN,United States,06053,CT,ROSA.CR@AOL.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,Jewelry and Silverware Manufacturing (339910),339910.0,2021-11-10 00:12:36.3366667,,,,,,,,,,,,,,,,,,,,,,
"2 GIRLS STONED, LLC",LLC,Active,Annual report past due,1361034,2021-03-31,20 SPUSTA ROAD,STAFFORD,United States,06076,CT,2GIRLSSTONED@GMAIL.COM,Domestic,2020-10-01,CT,Connecticut,True,False,False,False,False,Musical Groups and Artists (711130),711130.0,2021-11-10 00:12:36.3366667,,,,,,,,,,,,,,,,,,,,,,
MURMUR COFFEE LLC,LLC,Active,,1361035,2022-03-31,57 ROOSEVELT STREET,NEW BRITAIN,United States,06051,CT,compliance@zenbusiness.com,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,All Other Specialty Food Stores (445299),445299.0,2021-11-10 00:12:36.3366667,,,,,,,,,,,,,,,,,,,,,,
BUCKS ROCK FARMS LLC,LLC,Active,Annual report past due,1361036,2021-03-31,11 BUCKS ROCK RD,NEW MILFORD,United States,06776,CT,JPASTORJR@HOTMAIL.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,All Other Miscellaneous Crop Farming (111998),111998.0,2021-11-10 00:12:36.3366667,,,,,,,,,,,,,,,,,,,,,,
"RIVERSIDE PEDIATRIC GROUP, P.C.",Stock,Active,,1361038,2022-10-01,714 TENTH STREET,SECAUCUS,United States,07094,NJ,cls-ctarmsevidence@wolterskluwer.com,Foreign,2020-10-01,NJ,NJ,False,False,False,False,False,Offices of Physicians (except Mental Health Specialists) (621111),621111.0,2021-11-10 00:12:37.0100000,2020-09-27,"RIVERSIDE PEDIATRIC GROUP, P.C.",,,,,,,,,,,,,,,,,,,,
SPA ON CONGRESS-MULTISERVICES LLC,LLC,Active,Annual report past due,1361039,2021-03-31,744 CONGRESS AVENUE,NEW HAVEN,United States,06519,CT,DENISEKEYES1@GMAIL.COM,Domestic,2020-10-01,CT,Connecticut,True,False,True,False,False,All Other Miscellaneous Store Retailers (except Tobacco Stores) (453998),453998.0,2021-11-10 00:12:37.0100000,,,,,,,,,,,,,,,,,,,,,,
MAGIC BIN CLEANERS LLC,LLC,Active,,1361040,2022-03-31,40 Elm St,Hartford,United States,06106-1715,CT,magicbincleaners@gmail.com,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,Other Personal and Household Goods Repair and Maintenance (811490),811490.0,2021-11-10 00:12:37.0100000,,,,,,,,,,,,,,,,,,Suite C,,,,
FOLEON INC.,Stock,Active,,1361041,2022-10-01,228 E. 45TH ST. STE. 9E,NEW YORK,United States,10017,NY,COMPLIANCE@TABSINC.COM,Foreign,2020-10-01,DE,DE,False,False,False,False,False,Software Publishers (511210),,2021-11-10 00:12:37.0100000,2020-10-01,FOLEON INC.,United States,,,,,,,,,,,,,,,,,,,
MAHER'S DENTAL STUDIO LLC,LLC,Active,Annual report past due,1361042,2021-03-31,206 SAYBROOK RD,HIGGANUM,United States,06441,CT,MAHERSDENTALSTUDIO@GMAIL.COM,Domestic,2020-10-01,CT,Connecticut,True,False,False,False,False,Dental Laboratories (339116),339116.0,2021-11-10 00:12:37.0100000,,,,,,,,,,,,,,,,,,,,,,
"BH LUXURY HOMES, LLC",LLC,Active,,1361043,2022-03-31,125 PADDOCK HILL LANE,FAIRFIELD,United States,06824,CT,125PADDOCKHILL@GMAIL.COM,Domestic,2020-10-01,CT,Connecticut,True,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:37.0100000,,,,,,,,,,,,,,,,,,,,,,
MBI GENERAL CONSTRUCTION LLC,LLC,Active,Annual report past due,1361044,2021-03-31,817 NORTH  MAIN ST 3,WATERBURY,United States,06704,CT,ALFONSOBANO8@GMAIL.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,Roofing Contractors (238160),238160.0,2021-11-10 00:12:37.0100000,,,,,,,,,,,,,,,,,,,,,,
30 ASHLEY LLC,LLC,Active,,1361048,2022-03-31,66 PINE BROOK RD,BEDFORD,United States,10506,NY,30ashleyllc@gmail.com,Domestic,2020-10-01,NY,Connecticut,False,False,False,False,False,Residential Property Managers (531311),531311.0,2021-11-10 00:12:37.0100000,,,,,,,,,,,,,,,,,,,,,,
CLUB Q 2 LLC,LLC,Active,Annual report past due,1361049,2021-03-31,55 NASHAWENA AVENUE,WEST HAVEN,United States,06516,CT,MQUOKA@COMCAST.NET,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,2021-11-10 00:12:37.0100000,,,,,,,,,,,,,,,,,,,,,,
REY TRUCKING COMPANY LLC,LLC,Active,Annual report past due,1361050,2021-03-31,152 CHESNUT ST,BRIDGEPORT,United States,06604,CT,MAGICRAMIREZ05@GMAIL.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,"General Freight Trucking, Local (484110)",484110.0,2021-11-10 00:12:37.0100000,,,,,,,,,,,,,,,,,,,,,,
BAR FOURFIFTYSIX L.L.C.,LLC,Active,Annual report past due,1361051,2021-03-31,456 CONNECTICUT AVENUE,BRIDGEPORT,United States,06607,CT,LATISHAN26@GMAIL.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,Drinking Places (Alcoholic Beverages) (722410),722410.0,2021-11-10 00:12:37.0100000,,,,,,,,,,,,,,,,,,,,,,
JORGE LONDONO SERVICES LLC,LLC,Active,Annual report past due,1361052,2021-03-31,276 GRAND AVE,NEW HAVEN,United States,06519,CT,BLVDMOTORSLLC@GMAIL.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:37.0100000,,,,,,,,,,,,,,,,,,,,,,
"AMTEL, LLC",LLC,Active,Annual report past due,1361053,2021-03-31,1046 TEXAN TRAIL,GRAPEVINE,United States,76051,TX,WILL.PARKEY@MYAMTEL.COM,Foreign,2020-10-01,TX,TX,False,False,False,False,False,,,2021-11-10 00:12:37.0100000,2020-07-16,"AMTEL, LLC",United States,"1046 TEXAN TRAIL, GRAPEVINE, TX, 06108, United States",1046 TEXAN TRAIL,GRAPEVINE,TX,06108,United States,"1046 TEXAN TRAIL, GRAPEVINE, TX, 76051, United States",1046 TEXAN TRAIL,GRAPEVINE,TX,76051,United States,,,,,,,
FAMOUS INTERNATIONAL TRANSPORTATION LLC,LLC,Active,Annual report past due,1361054,2021-03-31,73 EASTWOOD RD,BRIDGEPORT,United States,06606,CT,EFILE1234@INCFILE.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:37.0100000,,,,,,,,,,,,,,,,,,,,,,
CHEERFUL COOK LLC,LLC,Active,,1361055,2022-03-31,111 HIGH CLEAR DR,STAMFORD,United States,06905,CT,EFILE1234@INCFILE.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,All Other Information Services (519190),,2021-11-10 00:12:37.6666667,,,,,,,,,,,,,,,,,,,,,,
MORTAR&PESTLE HOME SOLUTIONS LLC,LLC,Active,,1361056,2022-03-31,5A RESERVOIR STREET,BETHEL,United States,06801,CT,mortarandpestle@protonmail.com,Domestic,2020-10-01,CT,Connecticut,True,False,True,False,False,Other Activities Related to Real Estate (531390),,2021-11-10 00:12:37.6666667,,,,,,,,,,,,,,,,,,,,,,
VP CLEANING SERVICE LLC,LLC,Active,,1361057,2022-03-31,39 PINEWOOD RD,HAMDEN,United States,06518,CT,EFILE1234@INCFILE.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,Janitorial Services (561720),,2021-11-10 00:12:37.6666667,,,,,,,,,,,,,,,,,,,,,,
MOES KITCHEN LLC,LLC,Active,Annual report past due,1361058,2021-03-31,114 MAPLE AVE,STAMFORD,United States,06902,CT,EFILE1234@INCFILE.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:37.6666667,,,,,,,,,,,,,,,,,,,,,,
ARIAS FLOORING LLC,LLC,Active,Annual report past due,1361059,2021-03-31,370 EMMETT ST UNIT 1-9,BRISTOL,United States,06010,CT,EFILE1234@INCFILE.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:37.6666667,,,,,,,,,,,,,,,,,,,,,,
1100 WALLINGFORD ROAD LLC,LLC,Active,,1361060,2022-03-31,166 MANSION ROAD,WALLINGFORD,United States,06492,CT,ROBERT@MELILLOMOTORS.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:12:37.6666667,,,,,,,,,,,,,,,,,,,,,,
"NAP MOTORS I, LLC",LLC,Active,,1361062,2022-03-31,136 FIELD POINT CIRCLE,GREENWICH,United States,06830,CT,mbaker@bakerleshko.com,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,Other Support Activities for Road Transportation (488490),,2021-11-10 00:12:37.6666667,,,,,,,,,,,,,,,,,,,,,,
REDSTRAT LLC,LLC,Active,,1361063,2022-03-31,FIVE GREENWICH OFFICE PARK SUITE 455,GREENWICH,United States,06831,CT,nisha@alphastratllc.com,Domestic,2020-10-01,CT,Connecticut,True,False,True,False,False,"All Other Professional, Scientific, and Technical Services (541990)",,2021-11-10 00:12:37.6666667,,,,,,,,,,,,,,,,,,,,,,
"CTYLST ADVISORS, LLC DBA CATALYST ADVISORS LLC",LLC,Active,Annual report past due,1361064,2021-03-31,47 COLONIAL DRIVE,FAIRFIELD,United States,06824,CT,NEILSBHATIA@GMAIL.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,All Other Information Services (519190),519190.0,2021-11-10 00:12:37.6666667,,,,,,,,,,,,,,,,,,,,,,
TRAPPN DINNERS LLC,LLC,Active,Annual report past due,1361065,2021-03-31,200 GOFFE ST APT 26,NEW HAVEN,United States,06511,CT,EFILE1234@INCFILE.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:37.6666667,,,,,,,,,,,,,,,,,,,,,,
"CSPA DANCE & GYMNASTICS, LLC",LLC,Active,,1361066,2022-03-31,71 OXFORD ROAD,OXFORD,United States,06478,CT,cspadance@sbcglobal.net,Domestic,2020-10-01,CT,Connecticut,True,False,False,False,False,Fine Arts Schools (611610),611610.0,2021-11-10 00:12:37.6666667,,,,,,,,,,,,,,,,,,,,,,
JNL GENERAL CONTRACTING LLC,LLC,Active,Annual report past due,1361067,2021-03-31,64 TATNIC RD,BROOKLYN,United States,06234,CT,EFILE1234@INCFILE.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:37.6666667,,,,,,,,,,,,,,,,,,,,,,
SAKAN LLC,LLC,Active,,1361068,2022-03-31,95 MORGAN ST APT 9D,STAMFORD,United States,06905,CT,amjathkhan@outlook.com,Domestic,2020-10-01,CT,Connecticut,False,False,True,False,False,Other Computer Related Services (541519),,2021-11-10 00:12:37.6666667,,,,,,,,,,,,,,,,,,,,,,
ALL IN ONE LANDSCAPE AND EXCAVATION LLC,LLC,Active,,1361069,2022-03-31,226 HADDAD RD,WATERBURY,United States,06708,CT,Allinoneexcavation@gmail.com,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),,2021-11-10 00:12:37.6666667,,,,,,,,,,,,,,,,,,,,,,
MY PARTY STAR LLC,LLC,Dissolved,,1361070,2021-03-31,39 BUCKLAND ST APT 1123-3,MANCHESTER,United States,06042,CT,MYPARTYSTAR.US@GMAIL.COM,Domestic,2020-10-01,CT,Connecticut,False,False,True,False,False,Electronic Shopping and Mail-Order Houses (454110),454110.0,2021-11-10 00:12:37.6666667,,,,,,,,,,,,,,,,,,,2021-07-29T00:00:00.000,,,
"SMCM HOLDINGS, LLC",LLC,Active,,1361071,2022-03-31,"C/O RUSSO & RIZIO, LLC 10 SASCO HILL ROAD",FAIRFIELD,United States,06824,CT,mdemoura@optonline.net,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:37.6666667,,,,,,,,,,,,,,,,,,,,,,
CT LIFESTYLES LLC,LLC,Active,Annual report past due,1361073,2021-03-31,125 HILLANDALE ROAD,WESTPORT,United States,06880,CT,NLEWIS2309@GMAIL.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:37.6666667,,,,,,,,,,,,,,,,,,,,,,
JAFA SOLUTIONS LLC,LLC,Active,Annual report past due,1361074,2021-03-31,12 TAMARACK LANE,WOODBURY,United States,06798,CT,LLCSUPPORT@PRIMECORPORATESERVICES.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,Electronics Stores (443142),443142.0,2021-11-10 00:12:38.9166667,,,,,,,,,,,,,,,,,,,,,,
BLUE GUARD CAPITAL LLC,LLC,Active,,1361075,2022-03-31,57 MORNINGSIDE DRIVE S,WESTPORT,United States,06880,CT,kris.sandor@gmail.com,Domestic,2020-10-01,CT,Connecticut,False,True,False,False,False,Investment Advice (523930),523930.0,2021-11-10 00:12:38.9166667,,,,,,,,,,,,,,,,,,,,,,
"STEW'S TRUCKING, INC.",Stock,Active,,1361076,2022-10-01,137 WHITTIER DR,THORNWOOD,,10594,NY,WMBOTTIGLIERI@YAHOO.COM,Foreign,2020-10-01,NY,NY,False,False,False,False,False,"General Freight Trucking, Local (484110)",484110.0,2021-11-10 00:12:38.9166667,2020-10-05,"STEW'S TRUCKING, INC.",,,,,,,,,,,,,,,,,,,,
"DEALERS CHOICE MANAGEMENT GROUP, LLC",LLC,Active,,1361077,2022-03-31,1743 142ND ST,DORR,United States,49323,MI,brandon@wwkadmin.com,Foreign,2020-10-01,MI,MI,False,False,False,False,False,Office Administrative Services (561110),561110.0,2021-11-10 00:12:38.9166667,2020-12-01,"DEALERS CHOICE MANAGEMENT GROUP, LLC",United States,"1743 142ND ST PO BOX 141, DORR, MI, 49323, United States",1743 142ND ST PO BOX 141,DORR,MI,49323,United States,"1743 142ND ST, DORR, MI, 49323, United States",1743 142ND ST,DORR,MI,49323,United States,,,,,,,
B & M FOOD MART LLC,LLC,Active,Annual report past due,1361078,2021-03-31,143 STATE ST,NEW LONDON,United States,06320,CT,TASKFINANCIAL1@GMAIL.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,Convenience Stores (445120),445120.0,2021-11-10 00:12:38.9166667,,,,,,,,,,,,,,,,,,,,,,
ROBERTO'S LLC,LLC,Active,Annual report past due,1361079,2021-03-31,21 FORT POINT ST,NORWALK,United States,06855,CT,FREDERIKA@FBIKAKISCPA.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,Limited-Service Restaurants (722513),722513.0,2021-11-10 00:12:38.9166667,,,,,,,,,,,,,,,,,,,,,,
BIG DREAMS ELC INC,Non-Stock,Dissolved,,1361080,2021-11-19,789 RESERVOIR AVE,BRIDGEPORT,United States,06606,CT,RVERGULES@MSN.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,Child Day Care Services (624410),624410.0,2021-11-10 00:12:38.9166667,,,,,,,,,,,,,,,,,,,2021-04-30T00:00:00.000,,,
MALLORY MARKETING LLC,LLC,Active,,1361081,2022-03-31,144 WOODRUFF ROAD,FARMINGTON,United States,06032,CT,mallorymarketing@icloud.com,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:12:38.9166667,,,,,,,,,,,,,,,,,,,,,,
O2DESIGNS LLC,LLC,Active,,1361082,2022-03-31,20 LARDNER RD,BRISTOL,United States,06010,CT,o2designsllc@gmail.com,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,Graphic Design Services (541430),541430.0,2021-11-10 00:12:38.9166667,,,,,,,,,,,,,,,,,,,,,,
G&S ELECTRIC LLC,LLC,Active,,1361083,2022-03-31,20 HARMONY LANE 20 HARMONY LANE,MONROE,United States,06468,CT,gsoule.electric@gmail.com,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,Electrical Contractors and Other Wiring Installation Contractors (238210),238210.0,2021-11-10 00:12:38.9166667,,,,,,,,,,,,,,,,,,,,,,
AIRE LLC,LLC,Active,Annual report past due,1361084,2021-03-31,154 EAST AVE,NORWALK,United States,06851,CT,SUE@AIRCT.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,2021-11-10 00:12:38.9166667,,,,,,,,,,,,,,,,,,,,,,
